file_id,source_id,onset_ms,sampling_rate,snr_db,rms_db,peak_amplitude,is_clipped
XC596983_269,596983,269,16000,16.18,-43.42,0.1008,False
XC596983_29595,596983,29595,16000,26.02,-28.77,0.2786,False
XC596983_4106,596983,4106,16000,11.15,-49.69,0.0423,False
XC596983_43051,596983,43051,16000,9.67,-49.09,0.0285,False
XC596983_6109,596983,6109,16000,20.83,-40.54,0.0959,False
XC596983_7104,596983,7104,16000,20.57,-40.74,0.0959,False
XC596983_8468,596983,8468,16000,5.67,-55.48,0.0284,False
XC599867_18996,599867,18996,16000,5.63,-34.30,0.1539,False
XC599867_1966,599867,1966,16000,13.54,-27.15,0.3784,False
XC599867_3766,599867,3766,16000,10.33,-30.17,0.2720,False
XC599867_58280,599867,58280,16000,14.22,-23.83,0.5163,False
XC607249_100509,607249,100509,16000,10.06,-30.29,0.1926,False
XC607249_123553,607249,123553,16000,16.32,-27.30,0.3260,False
XC607249_144555,607249,144555,16000,11.73,-28.79,0.2863,False
XC607249_21212,607249,21212,16000,15.26,-23.85,0.4913,False
XC607249_2259,607249,2259,16000,15.19,-22.11,0.5001,False
XC607249_35099,607249,35099,16000,5.25,-35.27,0.1115,False
XC607249_43870,607249,43870,16000,10.44,-35.09,0.1232,False
XC607249_73495,607249,73495,16000,7.65,-33.45,0.1739,False
XC607249_90720,607249,90720,16000,10.80,-31.07,0.1908,False
XC607249_9434,607249,9434,16000,14.20,-23.44,0.4342,False
XC614590_1385,614590,1385,16000,8.07,-38.57,0.0878,False
XC614590_16277,614590,16277,16000,10.98,-37.86,0.1250,False
XC614590_21644,614590,21644,16000,5.68,-41.77,0.0725,False
XC623016_20382,623016,20382,16000,23.07,-33.15,0.1754,False
XC623016_23987,623016,23987,16000,24.50,-39.51,0.1145,False
XC623016_311,623016,311,16000,25.21,-33.94,0.1523,False
XC623016_3309,623016,3309,16000,21.29,-29.24,0.2490,False
XC635697_17024,635697,17024,16000,9.04,-24.45,0.3686,False
XC635697_2867,635697,2867,16000,7.75,-33.93,0.1333,False
XC639485_12349,639485,12349,16000,3.14,-32.37,0.1512,False
XC652901_1026,652901,1026,16000,7.85,-32.21,0.1940,False
XC652901_14818,652901,14818,16000,11.79,-30.82,0.2326,False
XC652901_9666,652901,9666,16000,9.21,-34.14,0.2186,False
XC652903_1429,652903,1429,16000,8.25,-32.49,0.1932,False
XC652903_14393,652903,14393,16000,11.72,-30.88,0.2220,False
XC652903_9629,652903,9629,16000,9.29,-34.14,0.2183,False
XC659209_0,659209,0,16000,14.82,-27.60,0.5487,False
XC659209_11836,659209,11836,16000,12.50,-34.86,0.1099,False
XC659209_16353,659209,16353,16000,11.92,-31.86,0.1916,False
XC659209_21227,659209,21227,16000,5.95,-40.12,0.0796,False
XC659209_24296,659209,24296,16000,9.53,-32.04,0.2138,False
XC659209_34234,659209,34234,16000,5.00,-37.74,0.0726,False
XC659209_35710,659209,35710,16000,6.40,-37.89,0.0726,False
XC659209_41175,659209,41175,16000,6.63,-37.92,0.0962,False
XC659211_12663,659211,12663,16000,3.47,-38.75,0.0865,False
XC659211_14030,659211,14030,16000,2.87,-38.41,0.0865,False
XC659211_23749,659211,23749,16000,4.51,-39.55,0.0967,False
XC659211_27394,659211,27394,16000,2.24,-42.00,0.0428,False
